Point,Latitude,Longitude,Altitude,Accuracy,Comment,Timestamp
19,-1.02385330,-79.46655170,47.10,4.47,"",1756760252330
4,-1.00782830,-79.47410170,97.50,1.85,"",1756758355731
13,-1.00430500,-79.47333000,26.30,2.05,"",1756759449477
9,-0.99545330,-79.47568830,70.00,2.08,"",1756759095541
5,-1.00120830,-79.47262670,96.20,2.03,"",1756758562783
40,-1.02672500,-79.46668000,73.60,4.50,"",1756763537824
10,-0.99850000,-79.47866500,89.60,2.67,"",1756759186862
41,-1.02484830,-79.46579500,71.50,4.50,"",1756763660360
26,-1.04301830,-79.48393170,95.90,2.05,"",1756761114226
23,-1.03131000,-79.47097000,75.40,2.82,"",1756760629940
12,-1.00218670,-79.47739000,42.80,2.62,"",1756759314534
17,-1.01215670,-79.46702500,100.70,2.72,"",1756759923787
30,-1.03899500,-79.49098670,87.80,1.90,"",1756762074176
2,-1.00678330,-79.46673670,94.20,1.97,"",1756758134266
14,-1.00765830,-79.47417670,93.30,2.05,"",1756759583265
22,-1.02986330,-79.46858000,77.60,2.52,"",1756760556956
28,-1.03751670,-79.48657170,96.20,2.12,"",1756761285613
3,-1.00835500,-79.46958170,90.80,2.00,"",1756758221627
27,-1.04034170,-79.48395330,105.80,2.18,"",1756761183925
20,-1.02498000,-79.46685500,71.80,8.55,"",1756760351563
31,-1.03789500,-79.48605000,98.10,2.55,"",1756762371316
37,-1.03894170,-79.47485000,89.30,1.92,"",1756763082845
21,-1.02802830,-79.46793500,77.60,2.97,"",1756760513873
33,-1.04384500,-79.48220330,82.10,2.48,"",1756762651832
18,-1.01714740,-79.46573720,102.50,30.70,"",1756760103756
8,-0.99168330,-79.47142500,80.80,2.70,"",1756758891430
32,-1.03992670,-79.48451330,91.20,1.73,"",1756762493025
25,-1.04473830,-79.47946830,94.50,2.13,"",1756761018811
24,-1.03634670,-79.47323830,94.90,6.40,"",1756760725295
16,-1.01037000,-79.46704170,102.80,1.00,"",1756759837367
6,-0.99590170,-79.47183170,92.20,2.22,"",1756758732614
36,-1.04657170,-79.48010830,87.60,1.97,"",1756762849326
1,-1.01068670,-79.46676330,101.40,2.40,"",1756758043534
34,-1.04463830,-79.48230330,91.60,1.87,"",1756762727004
39,-1.02990500,-79.46782000,67.50,2.43,"",1756763398107
38,-1.03061500,-79.46880000,71.70,2.28,"",1756763339983
11,-1.00105000,-79.47807330,42.80,2.63,"",1756759255039
15,-1.00859170,-79.46793170,75.50,2.30,"",1756759753919
29,-1.03915830,-79.48893330,95.40,4.24,"",1756761383455
7,-0.99286670,-79.47053170,90.80,2.23,"",1756758838648
35,-1.04548500,-79.48230830,89.80,1.93,"",1756762770613
