Point,Latitude,Longitude,Altitude,Accuracy,Comment,Timestamp
"6,-1.01509670,-79.46644000,31.90,2.22,"""",1756579996618"
"15,-1.01235440,-79.46696330,100.70,45.76,"""",1756581637998"
"47,-1.02666000,-79.46668670,75.70,2.28,"""",1756585607472"
"3,-1.02450670,-79.46591000,25.80,2.37,"""",1756579852321"
"36,-0.98366500,-79.44267330,63.20,2.23,"""",1756584441271"
"2,-1.02568830,-79.46583000,25.80,2.43,"""",1756579819039"
"5,-1.01865000,-79.46549330,31.90,2.53,"""",1756579956758"
"8,-1.01052670,-79.46677500,101.40,3.54,"""",1756580095253"
"30,-0.99254500,-79.44478000,57.20,1.80,"""",1756583471324"
"16,-1.01722670,-79.46583330,100.70,2.32,"""",1756581701370"
"27,-1.02206330,-79.45832330,31.20,1.63,"""",1756583070684"
"32,-0.96578170,-79.42227670,89.70,1.93,"""",1756583744926"
"35,-0.96534170,-79.42205170,90.60,3.03,"""",1756584238062"
"45,-1.03101670,-79.46800170,73.30,3.25,"""",1756585547121"
"48,-1.02450000,-79.46591670,71.50,2.03,"""",1756585703929"
"13,-1.00619830,-79.46683330,100.50,1.72,"""",1756581430119"
"10,-1.00613830,-79.46209670,74.20,4.43,"""",1756580221398"
"18,-1.02645830,-79.46687830,71.60,5.26,"""",1756581878156"
"44,-1.03416330,-79.46732330,73.30,2.55,"""",1756585504935"
"24,-1.03056330,-79.46260670,56.90,2.17,"""",1756582628547"
"43,-1.04050170,-79.46290830,69.60,2.63,"""",1756585276597"
"4,-1.02375500,-79.46569670,25.80,2.32,"""",1756579865835"
"12,-1.00618170,-79.46145670,74.40,4.97,"""",1756580331143"
"40,-1.02303830,-79.46086000,7.70,2.22,"""",1756585077810"
"7,-1.01222670,-79.46692500,31.90,2.00,"""",1756580028903"
"17,-1.02400330,-79.46654830,43.10,1.88,"""",1756581809673"
"28,-1.01278000,-79.44658500,11.60,2.07,"""",1756583241488"
"14,-1.01035330,-79.46696500,99.90,1.78,"""",1756581553849"
"11,-1.00651000,-79.45805330,74.20,3.55,"""",1756580268385"
"1,-1.02303830,-79.46086830,7.50,4.48,"""",1756579705736"
"19,-1.02810670,-79.46795830,71.60,1.98,"""",1756581936099"
"26,-1.02272330,-79.45919830,6.90,2.52,"""",1756582993496"
"33,-0.96215000,-79.42120670,92.20,2.22,"""",1756583910590"
"20,-1.03469670,-79.46730170,75.20,2.05,"""",1756582059082"
"34,-0.95577670,-79.42361170,83.30,2.42,"""",1756584025942"
"39,-1.02234830,-79.45908000,75.20,2.00,"""",1756584950840"
"21,-1.04009000,-79.46281330,33.70,2.52,"""",1756582533575"
"29,-1.00557170,-79.44658000,-89.60,2.45,"""",1756583362897"
"46,-1.02979330,-79.46772830,75.70,2.45,"""",1756585564413"
"31,-0.97184000,-79.42850500,85.20,5.28,"""",1756583644551"
"41,-1.03106330,-79.46270000,71.70,4.12,"""",1756585191621"
"22,-1.03559670,-79.46268500,33.70,2.38,"""",1756582582437"
"37,-1.00543000,-79.44668000,18.30,2.58,"""",1756584676446"
"42,-1.03671500,-79.46282500,69.60,3.88,"""",1756585236753"
"9,-1.00666670,-79.46677330,101.40,1.88,"""",1756580126530"
"25,-1.02243000,-79.46095500,29.80,2.08,"""",1756582928116"
"23,-1.03269500,-79.46262830,33.70,2.12,"""",1756582606276"
"38,-1.01310830,-79.44673330,-65.70,3.62,"""",1756584766883"
