Point,Latitude,Longitude,Altitude,Accuracy,Comment,Timestamp
1,-1.0106626,-79.4668818,101.4,2.57,,
2,-1.0067567,-79.466745,99.8,1.48,,
3,-0.99968,-79.467815,105.3,1.75,,
4,-0.994925,-79.4682483,98.3,2.48,,
5,-0.996015,-79.4722617,106.6,1.42,,
6,-1.00138,-79.47062,34.5,1.78,,
7,-1.00418,-79.4702733,94.3,1.83,,
8,-1.0062367,-79.4692367,100.6,1.83,,
9,-1.00652,-79.4671117,100.9,1.8,,
10,-1.0103867,-79.4669967,100.7,1.92,,
11,-1.0123817,-79.4670817,101.4,1.92,,
12,-1.017185,-79.465815,98.6,2.43,,
13,-1.0239067,-79.4665017,75.7,2.2,,
14,-1.025075,-79.4669617,71.8,2.07,,
15,-1.026495,-79.46737,75.7,1.15,,
16,-1.0300383,-79.4685967,75.4,1.92,,
17,-1.034735,-79.4672933,75.9,1.97,,
18,-1.0405833,-79.4680917,70.1,1.87,,
19,-1.04408,-79.4673483,66.9,1.93,,
20,-1.05141,-79.4656267,68.8,1.98,,
21,-1.0542617,-79.4635717,63.3,1.78,,
22,-1.0552,-79.46518,65.2,1.78,,
23,-1.0514433,-79.4649917,69.8,2.97,,
24,-1.0502367,-79.4658683,69.8,2.15,,
25,-1.0407617,-79.4680417,70.1,2.06,,
26,-1.0309567,-79.468065,75.3,1.4,,
27,-1.028955,-79.46753,75.3,1.98,,
28,-1.026825,-79.4666383,73.8,5.58,,
29,-1.0245417,-79.46596,71.5,6.59,,
30,-1.0186917,-79.4655317,29.1,1.9,,
31,-1.0153833,-79.46636,102.5,2.66,,
32,-1.0121102,-79.4668308,100.3,1.68,,
