Point,Latitude,Longitude,Altitude,Accuracy,Comment,Timestamp
"16,-1.00573670,-79.46718670,20.40,1.62,"""",1756846742416"
"18,-1.01214000,-79.46699330,105.30,2.10,"""",1756846842804"
"36,-1.00503830,-79.44341830,74.30,1.77,"""",1756852537729"
"50,-1.02451000,-79.46595000,71.50,2.44,"""",1756854413067"
"32,-1.01261330,-79.44653830,-78.10,4.00,"""",1756852238549"
"34,-1.00894670,-79.44276000,71.50,1.83,"""",1756852458215"
"35,-1.00889000,-79.44320670,71.50,2.05,"""",1756852481477"
"40,-1.01349330,-79.44677170,71.50,1.95,"""",1756853329181"
"51,-1.01861000,-79.46547330,37.70,1.88,"""",1756854526688"
"11,-0.99362330,-79.47495000,77.80,2.24,"""",1756846441131"
"42,-1.02313170,-79.46084000,7.80,3.50,"""",1756853686152"
"45,-1.04066830,-79.46291170,70.00,1.88,"""",1756853897366"
"43,-1.03117330,-79.46272330,70.50,2.00,"""",1756853817168"
"10,-0.99369500,-79.47630830,100.10,1.75,"""",1756846351980"
"38,-1.00878330,-79.44327500,69.90,1.97,"""",1756853125707"
"48,-1.02881000,-79.46750000,72.50,1.83,"""",1756854292274"
"1,-1.01214000,-79.46682000,100.30,2.16,"""",1756845408205"
"12,-0.99291170,-79.47409500,46.40,5.80,"""",1756846499941"
"13,-0.99176330,-79.47158170,93.30,1.57,"""",1756846519516"
"8,-0.98847170,-79.47563500,99.30,7.80,"""",1756846214875"
"2,-1.01053330,-79.46663000,101.40,5.40,"""",1756845482190"
"19,-1.01731330,-79.46581670,98.80,1.97,"""",1756850883352"
"20,-1.02383000,-79.46653670,47.40,2.58,"""",1756850966926"
"25,-1.04012000,-79.46278830,22.70,4.05,"""",1756851563126"
"44,-1.03801000,-79.46287330,70.00,4.93,"""",1756853868848"
"4,-0.99958500,-79.46779500,63.10,1.48,"""",1756845616035"
"28,-1.02443830,-79.46100170,2.90,6.45,"""",1756851842749"
"5,-0.99498330,-79.46785670,105.30,2.00,"""",1756845706530"
"29,-1.02343670,-79.46002500,6.20,2.68,"""",1756851890083"
"6,-0.99481670,-79.46971170,99.50,2.30,"""",1756845727204"
"37,-0.99843670,-79.44119330,70.90,1.85,"""",1756852670159"
"23,-1.02805000,-79.46798170,77.60,2.74,"""",1756851160162"
"24,-1.03460500,-79.46731500,76.50,2.03,"""",1756851284458"
"14,-0.99512670,-79.46885330,95.40,1.67,"""",1756846599914"
"26,-1.03319170,-79.46263830,70.90,5.63,"""",1756851619357"
"21,-1.02440670,-79.46665170,47.40,2.23,"""",1756851050794"
"47,-1.03090000,-79.46801170,75.30,1.52,"""",1756854248960"
"7,-0.99059670,-79.47111830,103.40,7.00,"""",1756845816700"
"31,-1.02203500,-79.45835830,6.70,1.87,"""",1756852059753"
"15,-0.99649670,-79.46743000,95.40,1.60,"""",1756846634673"
"49,-1.02655170,-79.46660330,76.60,2.25,"""",1756854333544"
"27,-1.03132330,-79.46260830,70.90,2.50,"""",1756851634675"
"22,-1.02647000,-79.46745170,71.60,1.83,"""",1756851086194"
"3,-1.00858330,-79.46766170,100.60,8.60,"""",1756845554312"
"39,-1.01141830,-79.44389170,68.80,2.58,"""",1756853208245"
"41,-1.02234000,-79.45906670,76.00,1.98,"""",1756853553077"
"46,-1.03448170,-79.46728170,72.80,5.18,"""",1756854095380"
"9,-0.99198830,-79.47694830,100.10,1.48,"""",1756846319746"
"30,-1.02267830,-79.45921830,6.70,1.82,"""",1756852005094"
"33,-1.01133500,-79.44643670,73.40,2.03,"""",1756852292973"
"17,-1.01007170,-79.46699170,100.60,1.60,"""",1756846814772"
